conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2068166958974144972,2026-06-20T04:05:36.000Z,0,"@jntexpressid Halo min, paket saya ngestuck nih bisa bantu tracking ga? Udh chat CS tapi balesannya template, saya ingin dipastikan apakah paket saya memang benar sedang dalam perjalanan, atau masi ada di transit center",2068183461664538710,,jntexpressid,in,,0,0,0,https://x.com/yourmrsmoon/status/2068183461664538710,1272078574636294146,yourmrsmoon
2068166958974144972,2026-06-20T03:33:57.000Z,1,@jntexpressid Paket yg hilang karena kelalaian kurir apakah diganti J&amp;T?,2068175494395346952,,jntexpressid,in,,0,0,1,https://x.com/siladibel/status/2068175494395346952,1230753126199648257,siladibel
2068130878983938100,2026-06-20T00:36:40.000Z,0,Min paket aku stuck tolong dibantu tracking @jntexpressid,2068130878983938100,,,in,,0,3,0,https://x.com/yourmrsmoon/status/2068130878983938100,1272078574636294146,yourmrsmoon
2067110563549954428,2026-06-19T13:52:55.000Z,0,"@jntexpressid JX9637548005 min ini paket ku ga jalan2 dari tanggal 14, stuck di daerah cikupa. tolong segera proses min",2067968873929035829,,jntexpressid,in,,0,0,0,https://x.com/olynyaya/status/2067968873929035829,1757067654685392896,olynyaya
2067916555271188561,2026-06-19T10:25:01.000Z,1,"Masih bingung bedanya J&amp;T Poin dan VIP Poin? 🤔📦
Tenang, keduanya sama-sama bisa kamu dapatkan dari setiap transaksi pengiriman di J&amp;T Express.

Bedanya, cara penukaran poin disesuaikan dengan jenis membership kamu.
✨ J&amp;T Poin = Tukarkan poin melalui menu Membership di aplikasi https://t.co/uwxyHsPzPu",2067916555271188561,https://pbs.twimg.com/media/HLK3Fsoa8AAI9Zr.jpg,,in,,0,0,0,https://x.com/jntexpressid/status/2067916555271188561,3253429832,jntexpressid
2067912375236460862,2026-06-19T10:08:24.000Z,0,"unlock information! jadi kalo tag @jntexpressid atau ekspedisi yang lain bakal ada akun akun penipu yg komen terus ngasih no wa pura pura jadi call center wkwk, terus ya udah deh dia bilang paket ilang blablabla, iming iming refund trus ss rekening",2067912375236460862,,,in,,0,0,0,https://x.com/Dendyramd/status/2067912375236460862,1208975361108656128,Dendyramd
2067906395761189326,2026-06-19T09:44:39.000Z,0,@jntexpressid ini gabisa di dm apa ya? paket stuck dr tgl 6 ga sampe2,2067906395761189326,,jntexpressid,in,,0,5,0,https://x.com/ppopcorncgv/status/2067906395761189326,2917601604,ppopcorncgv
2067829138967376255,2026-06-19T04:37:39.000Z,0,@jntexpressid PAKET SAYA SUDAH DINYATAKAN HILANG SEJAK TANGGAL 13 TAPI DI WEBSITE KALIAN TIDAK ADA UPDATE!!!! https://t.co/3wA6suOMPu,2067829138967376255,https://pbs.twimg.com/media/HLJnpGfbgAAFitN.jpg,jntexpressid,in,,0,2,0,https://x.com/bucanorng/status/2067829138967376255,1644324277540253699,bucanorng
2067634548842852591,2026-06-18T15:44:25.000Z,0,"@jntexpressid paket saya no JX9711779916 pecah, isi nya tumpah. Apa begini cara nya sekarang dalam layanan pengantaran paket.. https://t.co/TrmFIjMVTm",2067634548842852591,https://pbs.twimg.com/media/HLG2kD9bEAA-M9t.jpg,jntexpressid,in,,0,4,0,https://x.com/dewantara_adhi/status/2067634548842852591,812176351994097664,dewantara_adhi
2067583997149090153,2026-06-18T12:23:33.000Z,0,"@jntexpressid hallo kak, tolong ditindak. Kenapa paket saya direschedule terussss. Mau sampe kapan sampenya, ngirim bareng tp yang lain udah pada sampe yg ini ditunda² terusssss. https://t.co/DelnOZQ5d0",2067583997149090153,https://pbs.twimg.com/media/HLGIsBebEAA6-H6.jpg,jntexpressid,in,,0,4,0,https://x.com/tikionly/status/2067583997149090153,81074093,tikionly
