Akun,Betweenness
jntexpressid,0.0008410977607228315
ShopeeID,0.00013979464167138472
pln_123,1.863928555618463e-05
fsaidhamzah,1.3979464167138473e-05
Telkomsel,1.3979464167138473e-05
JNECare,1.0484598125353855e-05
MediaKonsumenID,6.989732083569236e-06
wiyantokdr54,5.8247767363076974e-06
shin_977,4.659821389046158e-06
tekarok007,2.329910694523079e-06
OmJ_J3Nggott,1.1649553472615394e-06
ostakancaka,0.0
ALD1_official,0.0
indriraaaa,0.0
Naiyanaa_W,0.0
intanpayooong,0.0
MuhammadTuhasan,0.0
MisnaWTB,0.0
gambarmasjamu,0.0
Sunghooin,0.0
Ikeser_Melokal,0.0
ALD1staff,0.0
sulkytiger,0.0
ivangoyat,0.0
riekediahp,0.0
KomnasHAM,0.0
KomnasPerempuan,0.0
SS1574597214037,0.0
BBCIndonesia,0.0
LimaWaluSara,0.0
TimelineIDN,0.0
mafavjk,0.0
ulankeiko86,0.0
ThamShiel,0.0
mie_di_kocok,0.0
Libnghe,0.0
belleunjiya,0.0
kamarlintang,0.0
saelililili,0.0
gagahmei,0.0
